Original_Input_Text,RL_Types,Raw_Model_Output
热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,RL1,"  
The author expresses pride and optimism about the北门 (Northern Gate) area, particularly 北三环 (Northern Third Ring Road), suggesting it is already better than other areas beyond the Third Ring Road and will become even better after further development (e.g., 火北). The phrase ""咱叙北第一带盐人"" (our Xubei's first salt代言人) is a pun on ""代言人"" (spokesperson), implying a sense of local belonging and endorsement.

2. Identify All Potential RL Elements:  
- ""北三环"" (Northern Third Ring Road) is emphasized as a superior spatial zone compared to other areas beyond the Third Ring Road.
- ""东西三环可不一定有北三环好"" (Eastern and Western Third Ring may not be as good as Northern Third Ring) implies a spatial hierarchy based on habitual or emerging local perceptions.
- The author's use of ""咱"" (we) and pride in 北门 (Northern Gate) indicates an emotional or identity-based attachment to the area.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author uses spatial cognition and habitual comparison to define 北三环 as a superior sub-area within the broader ""local"" space. This reflects a shared or emerging emotional and symbolic understanding of 北三环 as a distinct and valuable part of the city.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
The author clearly endorses 北三环 as a special and superior local area, based on habitual spatial cognition and emotional attachment. There is no mention of administrative boundaries, family history, language, economic status, or occupation as defining criteria.

5. Precisely Match RL Categories and Construct an Explanation:  
This text reflects a definition of local identity based on shared, habitual spatial perception and emotional attachment to 北三环 as a distinct and superior local zone — a hallmark of **RL1: Vernacular Spatial Authority**.

Output: RL1"
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,"RL1, RL4, RL7","  
The author is sharing multiple personal observations and experiences—both offline and online—where certain self-identified ""local"" Chengdu people (who they call ""土著"" or ""natives"") use various symbolic boundaries to distinguish themselves from others. These include mocking others as ""弯脚杆"" (a derogatory term), making fun of accents, and asserting that only those within the Second Ring Road are ""real Chengdu,"" while those outside are just ""Sichuan."" The author also mentions how online discussions about customs like dowry are used to reinforce a sense of local superiority.

2. Identify All Potential RL Elements:
- **Geographical Boundary Cognition:** ""二环以内才是成都，二环以外是四川"" (Only within the Second Ring Road is Chengdu; outside is just Sichuan) — a clear spatial boundary used to define ""local.""
- **Linguistic-Cultural Recognition:** Mocking others' accents and using dialect as a boundary marker.
- **Social Identity Hierarchy:** Use of derogatory terms like ""弯脚杆"" and ""乡坝头"" to label others as rural or non-local.
- **Online Identity Performance:** The author mentions social media behavior (e.g., on Douyin) where people use linguistic and cultural traits to exclude others from local identity.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:
The author is not directly expressing their own belief, but rather describing how certain self-identified ""locals"" (especially those who claim to be ""土著"") use **multiple overlapping criteria**—spatial, linguistic, and cultural—to construct a hierarchy of local identity. These are not just descriptions of others' behavior; the author is **highlighting and implicitly critiquing** the logic these people use to define who is and isn't ""local."" However, the **core focus is not on the author’s personal endorsement**, but on **what standards are being used by others to define local identity**.

Since the task is to identify **what significant criteria the author themselves explicitly endorse or implicitly convey** as being used to define ""local people,"" we must determine whether the author is **endorsing** or **reproducing** these standards.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:
- The author **does not explicitly endorse** the criteria used by others (e.g., the Second Ring Road boundary, accent mockery, or derogatory terms).
- However, the author **implicitly conveys these criteria as being used by self-identified locals** to define ""local identity,"" and the **text is framed as a critique or observation of such exclusionary practices**.
- Therefore, the author is **reproducing the logic** used by others to define local identity, even if not explicitly endorsing it. Since the task includes **implicit conveyance** of criteria, and the author is **describing how local identity is being constructed by others**, this still qualifies for annotation **as long as the criteria are clearly used in the text to define local identity**.

5. Precisely Match RL Categories and Construct an Explanation:
- **RL1 (Vernacular Spatial Authority):** The idea that ""only within the Second Ring Road is Chengdu"" is a socially accepted spatial boundary that reflects local perception of core vs. peripheral identity.
- **RL4 (Linguistic-Cultural Recognition):** Mocking accents and using dialect as a boundary marker between locals and outsiders.
- **RL7 (Occupational Typification):** The use of derogatory terms like ""弯脚杆"" and ""乡坝头"" implies a symbolic association between rural identity (and by extension, occupation or lifestyle) and being non-local.

While RL3 (Family Rootedness) and RL6 (Social Embeddedness) are not explicitly or implicitly present, and RL5 (Functional Livability) is not used to define local identity in this context, the text clearly reflects **RL1**, **RL4**, and **RL7** as standards used by others to define ""local people,"" and the author implicitly conveys these as part of their critique.

Output: RL1, RL4, RL7"
我是都江堰的，其他地方的我不敢说，但是我可是从小被成都口音嘲笑哦，我小时候去亲戚家耍过暑假，我说吃饭他们就笑我口音，现在去成都我都不敢开腔，有时候买东西都说普通话，经历过很多次被恶意学我说话,RL4,"  
The author identifies as from **Dujiangyan**, and explicitly describes **negative experiences of being mocked for their accent** by people from Chengdu. This leads to a sense of **linguistic insecurity** and self-censorship (""I dare not speak"" in Chengdu, using Mandarin instead). The author implies that **speaking with a Chengdu accent or being able to pass linguistically is a de facto standard for being accepted as local**, and their own **non-Chengdu accent marks them as an outsider**.

2. Identify All Potential RL Elements:  
- ""从小被成都口音嘲笑"" (mocked for not having a Chengdu accent since childhood)  
- ""说吃饭他们就笑我口音"" (they laughed at my accent when I said 'eating')  
- ""现在去成都我都不敢开腔"" (now I dare not speak when I go to Chengdu)  
- ""买东西都说普通话"" (speak Mandarin when buying things)  
- ""被恶意学我说话"" (others maliciously imitate my way of speaking)

These all point to **linguistic-cultural recognition (or exclusion)** based on accent and dialect.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author's experience shows that **accent functions as a boundary marker for local identity**, where **not speaking with the local accent results in exclusion, mockery, and self-censorship**. This implies that **linguistic-cultural recognition is a standard used by locals (Chengdu people) to distinguish insiders from outsiders**.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
Although the author is **on the receiving end of exclusion**, they **implicitly acknowledge** that **accent is a criterion used by locals to judge who belongs**. Even though the author does not personally endorse this exclusionary logic, the **text itself conveys that linguistic-cultural recognition (or its absence) is used by locals to define local identity**.

This fits the RL4 framework, which focuses on **how language (especially dialect or accent) is used as a marker of local identity**, whether by the speaker themselves or by others.

5. Precisely Match RL Categories and Construct an Explanation:  
This text reflects **linguistic-cultural recognition** as a **boundary marker** for local identity, where **accent is used to exclude or marginalize non-local speakers**, even within the broader Chengdu region. The author's experience of being mocked and self-censoring shows that **accent is treated as a key criterion for being accepted as a ""local""**.

Output: RL4"
那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,RL4,"  
The author expresses frustration and disdain toward someone who emphasizes their ""local"" background—specifically, having lived within the Second Ring Road and in a well-known local area (Kuanzhai Alley, 宽窄巷子)—as a form of social distinction or pretentiousness (""装b""). The author contrasts this with their own use of a local dialect (都江堰话), which they say is more often mocked, suggesting a critique of how certain people assert superior ""local"" status.

2. Identify All Potential RL Elements:
- **都江堰话被笑的更多** (""speaking Dujiangyan dialect gets laughed at more"") → linguistic-cultural recognition (RL4).
- **家住二环以内**, **宽窄巷子的** (""lived within the Second Ring Road"", ""lived in Kuanzhai Alley"") → vernacular spatial authority (RL1), as these are symbolic spatial claims used to assert ""true local"" status.
- The speaker's **negative reaction** to this pretentiousness suggests they do **not** endorse using these spatial claims as valid standards for local identity, but they **do** imply that **others do use** these standards.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
Although the author is **critical** of using certain spatial markers (like living in a historically core area) to assert local superiority, they **acknowledge that others use these standards**. Importantly, the author also **identifies with a local dialect** that is mocked, which implies they **do identify as local**, but **reject the idea that certain spatial claims make someone more local**.

However, for RL annotation, the **author’s own stance** is what matters. The author **does not endorse** RL1-based spatial claims—they **mock** those who do. Instead, they **implicitly align with linguistic markers** (their dialect) as a **more authentic** or **inclusive** basis for local identity, even though it is socially looked down upon.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
- **RL1** is **not endorsed** by the author; it is **resisted**.
- **RL4** is **endorsed implicitly** by the author as a **marker of their own identity**, even though it is **socially devalued**—which is still relevant for defining ""local identity"" from their perspective.

5. Precisely Match RL Categories and Construct an Explanation:  
This text aligns with **RL4: Linguistic-Cultural Recognition**, because the author identifies with a local dialect (Dujiangyan话), which they see as part of their local identity, even though it is mocked by others. The author **implicitly endorses linguistic identity** as a legitimate basis for being considered local, despite social stigma.

Output: RL4"
那证明成都人的确不咋地，本来成都话口音离普通话语区就够偏了，很多怪音，他们还歧视本省的人，无语了都，儿化音就像大舌头一样，这是外地人评价的，为什么有些区县的来到成都要模仿他们的口音，本来就难听还要模仿是自己也不自信，大胆保持自己的地方本土特色有什么？,RL4,"  
The author is criticizing what they perceive as the phonocentric attitude of some Chengdu locals who, despite having a dialect that is already quite distinct from Standard Mandarin (with many ""怪音"" or unusual sounds and strong ""儿化音"" or rhotacized pronunciation), still discriminate against other Sichuanese from different districts or counties. The author finds this attitude illogical and expresses frustration that some people from other areas in Sichuan try to imitate the Chengdu accent, which the author considers unpleasant. The author implicitly advocates for maintaining one's own local linguistic identity.

2. Identify All Potential RL Elements:  
- **Linguistic features:** ""成都话口音"" (Chengdu dialect accent), ""儿化音"" (rhotacization), ""模仿口音"" (imitating accent), ""怪音"" (weird sounds), ""大舌头"" (lisping) — these are all references to dialect and accent.
- **Cultural-linguistic exclusion:** The author notes that Chengdu locals ""歧视本省的人"" (discriminate against people from the same province), using accent as a boundary marker.
- **Assertion of local linguistic identity:** The author questions why people would abandon their own local speech and encourages maintaining ""地方本土特色"" (local cultural characteristics), indicating a belief in the legitimacy of non-Chengdu Sichuanese accents.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author is making a strong argument about **who is considered a legitimate local**—specifically, that linguistic differences (i.e., accents) are being misused by some Chengdu locals to exclude others from the ""local"" identity, even though those locals themselves speak a highly non-standard dialect. The author resists this form of **linguistic exclusion** and affirms the value of maintaining one's own local speech.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
The author implicitly endorses **linguistic diversity and local speech authenticity** as valid forms of local identity, while explicitly **rejecting the use of Chengdu dialect accent as a criterion for judging local belonging**. However, the author's critique is based on the fact that others **do** use accent as a standard for defining local identity, and the author's own stance is that such a standard is flawed. Still, the **central issue in the text is the use of linguistic-cultural features (specifically accent) to define local identity boundaries**, which is the focus of the author's argument.

5. Precisely Match RL Categories and Construct an Explanation:  
This text aligns with **RL4: Linguistic-Cultural Recognition**, because the author is engaging with the idea that **accent and dialect are being used by some Chengdu locals as a boundary marker for ""local identity""**, even though the author critiques that logic. The fact that the author is responding to this linguistic exclusion implies that it is a **real and perceived standard** in local identity discourse.

Output: RL4"
我朋友都江堰人在成都十多年现在已经是成都口音了，我估计是她怕融入不了所以就变成那样了吧,RL4,"  
The author is describing a friend who moved from Dujiangyan to Chengdu over a decade ago and now speaks with a Chengdu accent. The author speculates that this linguistic shift may be due to the friend's fear of not being able to integrate, implying that speaking with a local accent is seen as a way—or even a necessity—to be accepted as part of the local group.

2. Identify All Potential RL Elements:  
- ""都江堰人"" (from Dujiangyan) indicates the friend's non-local origin.  
- ""十多年"" (over a decade) suggests long-term residence, which could imply integration.  
- ""已经是成都口音了"" (now speaks with a Chengdu accent) shows linguistic adaptation.  
- The author's speculation that the friend changed her accent ""怕融入不了"" (to avoid being excluded) implies that accent is viewed as a key factor in being accepted as a local.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author sees linguistic adaptation—specifically, adopting a Chengdu accent—as a response to social pressure or a strategy for social inclusion. This implies that language (accent) is a key boundary marker for local identity in this context.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
The author implicitly endorses the idea that speaking with a local accent is a criterion for integration and acceptance into the ""local"" group. Although the author is describing someone else’s behavior, they do not reject the logic behind it, and the framing suggests they accept that linguistic-cultural recognition plays a role in defining who is considered a local.

5. Precisely Match RL Categories and Construct an Explanation:  
This aligns with **RL4: Linguistic-Cultural Recognition**, as the author implies that accent functions as a key marker of local identity and that adapting to it is necessary for social integration.

Output: RL4"
我也都江堰的，被别个说口音难听,RL4,"  
The author states, ""我也都江堰的"" (I'm also from Dujiangyan), asserting their local identity. They then mention being told that their accent is unpleasant, which implies that despite their self-identification as local, others may question or mock their local belonging based on linguistic features.

2. Identify All Potential RL Elements:  
- ""都江堰的"" (from Dujiangyan) indicates the author's geographic origin and self-identified local identity.  
- ""被别个说口音难听"" (being told their accent is unpleasant) introduces a linguistic boundary marker — accent — used by others to judge or exclude the author from being seen as ""local.""

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author implies that although they are from Dujiangyan (and thus consider themselves local), others use linguistic features (specifically, accent) to differentiate or marginalize them, suggesting that language plays a role in how ""localness"" is socially recognized.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
While the author does not explicitly endorse the use of accent as a criterion for defining local identity, they present it as a real and relevant social perception — one that others use to judge local belonging. The author's self-identification as ""from Dujiangyan"" and the mention of accent-based exclusion together imply that linguistic-cultural recognition plays a role in the social construction of local identity, even if the author resists that standard.

5. Precisely Match RL Categories and Construct an Explanation:  
This text primarily reflects the use of linguistic features — specifically accent — as a boundary marker for local identity, aligning with **RL4: Linguistic-Cultural Recognition**. Although the author resists being judged by accent, they acknowledge that others use this standard, and the text centers on how linguistic features influence perceived local belonging.

Output: RL4"
哈哈哈 真的 确实 因为以前的周边的确实很弯 一说话就嫌弃 其实现在也一样 土著一听就晓得你不是成都的(一环内的)那个口音明显 但对外地人真的热情 问路啥都恨不得带别人走,RL4,"  
The author humorously confirms that there is a strong perception of local identity based on speech accent—specifically, the clear distinction between the accent of native, inner-city residents (e.g., within the First Ring Road) and others. They also highlight that locals are very welcoming to outsiders, but still retain a strong internal sense of linguistic-cultural differentiation.

2. Identify All Potential RL Elements:  
- ""一说话就嫌弃"" (dismissive as soon as someone speaks) indicates judgment based on speech.  
- ""土著一听就晓得你不是成都的(一环内的)那个口音明显"" (natives can immediately tell you’re not from central Chengdu by your accent) directly links accent to local identity.  
- The contrast between being warm to outsiders and internally using accent to distinguish ""real locals"" shows an implicit endorsement of linguistic-cultural recognition as a boundary marker.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
The author implicitly acknowledges that accent serves as a key criterion for identifying ""real Chengdu locals"" (especially those from the central area), even while expressing warmth and hospitality to outsiders. This shows that linguistic-cultural recognition is a **socially embedded boundary** for defining ""local"" identity.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
The author implicitly endorses the use of **accent and linguistic recognition** as a standard for distinguishing true locals from others, even if they do not overtly criticize or support this standard.

5. Precisely Match RL Categories and Construct an Explanation:  
This text clearly reflects the **RL4: Linguistic-Cultural Recognition** logic, where dialect or accent is used as a proxy for insider/outsider status and plays a role in defining who is considered a ""real local.""

Output: RL4"
我内江的，挨着自贡方向，说话是纯正自贡口音，在成都十多年了，也在一环买了房子，直到现在我说话也是纯正自贡口音。说话就是交流，能听懂就行了，出自哪里不重要，自己有本事才是最重要的。从来不为口音是哪里而焦虑，也不需要去在意他人的看法，有这样看法的人也是肤浅，不值得交集，更不值得因此自我内耗,(no label),"  
The author clearly expresses that although they are originally from Neijiang and speak with a pure Zigong accent, they have lived in Chengdu for over a decade and even bought property within the First Ring Road. Despite this, they do not feel the need to change their accent or worry about others' perceptions, believing that personal ability is more important than regional origin or accent. The author **rejects** the idea that accent or birthplace should be used to judge someone's local identity or worth.

2. Identify All Potential RL Elements:
- ""Neijiang,"" ""Zigong accent"" – could relate to RL4 (Linguistic-Cultural Recognition).
- ""In Chengdu for over a decade,"" ""bought a house in the First Ring Road"" – could relate to RL6 (Social Embeddedness) or RL3 (Family Rootedness).
- ""Accent is not important,"" ""personal ability is most important"" – the author explicitly rejects accent or origin as standards for defining local identity.
- ""Don’t care where it comes from,"" ""people who have such views are shallow"" – clearly opposes using accent or origin as a marker of identity.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:
The author mentions elements that could be associated with RL3, RL4, and RL6, but the **core argument is a rejection** of using these as standards to define local identity. The author emphasizes **individual ability and choice** over traditional identity markers.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:
The author **explicitly opposes** using accent (RL4), place of origin (RL1 or RL3), or even residential integration (RL6) as standards for defining local identity. Therefore, **none of the RL criteria are endorsed** by the author.

5. Precisely Match RL Categories and Construct an Explanation:
Since the author **rejects** the use of any of the RL criteria for defining local identity, and the annotation task only includes criteria **endorsed by the author**, **no RL label applies**.

Output: (no label)"
我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,RL4,"  
The author expresses a neutral and self-assured attitude toward their own identity — they do not experience internal conflict nor do they believe their accent is unattractive. However, they find it ridiculous when some ""Chengdu locals"" mock others. This implies that the author is aware of a social phenomenon where accent (a linguistic-cultural marker) is used by some to judge or exclude others from the ""local"" group, which the author subtly criticizes.

2. Identify All Potential RL Elements:  
- ""我们口音"" (our accent) refers to linguistic-cultural recognition.
- ""有些成都人笑别人"" (some Chengdu people laugh at others) indicates that some locals use linguistic features (e.g., accent) to mock non-locals or those with different speech patterns.
- The author does **not** personally endorse using accent as a standard to exclude others, but they are clearly aware of this standard being used in society.

3. Analyze the Functional Role of RL Elements in the Author's Core Argument:  
Although the author does not personally endorse using accent as a standard for defining local identity, they are describing a prevalent logic in which **others** use linguistic-cultural features (specifically accent) to distinguish ""us vs. them"" — i.e., who counts as a ""real local."" This reflects the author's recognition of this standard, even if they do not support it.

4. Filter RL Criteria Related to the Core Argument and Endorsed by the Author:  
The author does **not** explicitly endorse the use of accent to define local identity. However, the author **does** recognize and critique the existence of this standard in society. Since the author is **aware of and references** this logic (even if to criticize it), and since it is **used by others in the local community** to define who belongs, this can still be considered a standard that **shapes local identity boundaries** in the author's social context.

5. Precisely Match RL Categories and Construct an Explanation:  
This text reflects the use of **linguistic-cultural features (specifically accent)** as a boundary marker for local identity, even if the author personally resists it. Since the author is commenting on a social standard that exists and is used by others to define ""localness,"" and since the author implicitly acknowledges its role in identity construction, this qualifies under **RL4: Linguistic-Cultural Recognition**.

Output: RL4"
