Original_Input_Text,RL_Types,Raw_Model_Output
热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,"1. **RL1: Socially Conventional Territorial Identity**  
The author explicitly endorses a socially conventional perception of regional identity by asserting that ""北三环 (North Third Ring)"" is better than other third-ring areas (""东西三环""), indicating a symbolic boundary and identity distinction based on perceived regional status. The phrase ""论三环外…"" implies a commonly accepted mental map where the North Third Ring holds a special status within the ""local"" identity system.

2. **RL5: Functional Livability & Environmental Quality Cognition**  
The author links the future development of ""火北"" (possibly a transportation or infrastructure project) with the area ""起飞了 (taking off)"", directly connecting functional improvements (likely transportation and facilities) to the evaluation of the area’s local value, suggesting that such developments will elevate the area's status as a desirable or ""authentic"" local space.","Output: 1. **RL1: Socially Conventional Territorial Identity**  
The author explicitly endorses a socially conventional perception of regional identity by asserting that ""北三环 (North Third Ring)"" is better than other third-ring areas (""东西三环""), indicating a symbolic boundary and identity distinction based on perceived regional status. The phrase ""论三环外…"" implies a commonly accepted mental map where the North Third Ring holds a special status within the ""local"" identity system.

2. **RL5: Functional Livability & Environmental Quality Cognition**  
The author links the future development of ""火北"" (possibly a transportation or infrastructure project) with the area ""起飞了 (taking off)"", directly connecting functional improvements (likely transportation and facilities) to the evaluation of the area’s local value, suggesting that such developments will elevate the area's status as a desirable or ""authentic"" local space."
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,3 4 1,Output: 3 4 1
我是都江堰的，其他地方的我不敢说，但是我可是从小被成都口音嘲笑哦，我小时候去亲戚家耍过暑假，我说吃饭他们就笑我口音，现在去成都我都不敢开腔，有时候买东西都说普通话，经历过很多次被恶意学我说话,"3,4","Output: 3,4"
那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,RL4 RL3,Output:  RL4 RL3
那证明成都人的确不咋地，本来成都话口音离普通话语区就够偏了，很多怪音，他们还歧视本省的人，无语了都，儿化音就像大舌头一样，这是外地人评价的，为什么有些区县的来到成都要模仿他们的口音，本来就难听还要模仿是自己也不自信，大胆保持自己的地方本土特色有什么？,4,Output: 4
我朋友都江堰人在成都十多年现在已经是成都口音了，我估计是她怕融入不了所以就变成那样了吧,4,Output: 4
我也都江堰的，被别个说口音难听,也-RL4,Output: 也-RL4
哈哈哈 真的 确实 因为以前的周边的确实很弯 一说话就嫌弃 其实现在也一样 土著一听就晓得你不是成都的(一环内的)那个口音明显 但对外地人真的热情 问路啥都恨不得带别人走,RL4,Output:  RL4
我内江的，挨着自贡方向，说话是纯正自贡口音，在成都十多年了，也在一环买了房子，直到现在我说话也是纯正自贡口音。说话就是交流，能听懂就行了，出自哪里不重要，自己有本事才是最重要的。从来不为口音是哪里而焦虑，也不需要去在意他人的看法，有这样看法的人也是肤浅，不值得交集，更不值得因此自我内耗,RL4,Output:  RL4
我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,4,Output: 4
你上面就有一条，说我们口音很贱,你上面就有一条，说我们口音很贱,Output: 你上面就有一条，说我们口音很贱
哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,4,Output: 4
哈哈哈哈，口音很贱，这个,4,Output: 4
重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒,"重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒  
→ **RL4**","Output: 重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒  
→ **RL4**"
还有外地人骂成都口音难听呢，逼着他来成都了？,4,Output: 4
我也不知道我算不算成都人，爸爸是成都人，爷爷奶奶也生活在成都，我户口在成都。但是妈妈是外地人，我爸妈都在我妈妈的城市工作。从小我跟着爸妈在我妈妈出生的城市生活，小时候放假回成都，和小朋友玩要被骂乡巴佬，所以导致我小时候不愿意回成都，一直到读研才回的成都，读完研就出国了，现在回成都快3年，不太会说成都话，听得懂，但愿意说四川话，总被同事说我说的四川话有口音，我也一直对成都没有认同感。,"1,2,3,4","Output: 1,2,3,4"
一个口音，一个面，我们天天被网暴，门都不敢出,一个口音 → RL4: Cultural-Linguistic Recognition,Output: 一个口音 → RL4: Cultural-Linguistic Recognition
就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,无,Output: 无
