text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,147,"认同逻辑1, 认同逻辑4, 认同逻辑6, 认同逻辑3","{1, 4, 7}","{1, 3, 4, 6}",missed
哈哈哈哈，口音很贱，这个,-,认同逻辑4,set(),{4},spurious
就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,47,认同逻辑4,"{4, 7}",{4},missed
之前在成都上学遇到两个女的 就不是成都人 四川其他地方的 非要说自己是成都人 只是亲戚在双流买了房子而已各种也装的要死 我真的想问这有什么好优越的吗自己的土生土长的地方都不承认,3,"认同逻辑3, 认同逻辑6",{3},"{3, 6}",spurious
我也想说，我那个农村老板在成都买房了，经常给我说我现在也是成都本地人了，创业初成功经常在那吹嘘自己🐮逼，神戳戳的，他不在别的同事面前说他是成都户口了因为其他人不是土著,26,"认同逻辑6, 认同逻辑3","{2, 6}","{3, 6}",missed
并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,46,认同逻辑6,"{4, 6}",{6},missed
成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,137,"认同逻辑3, 认同逻辑1, 认同逻辑2","{1, 3, 7}","{1, 2, 3}",missed
三环外的弯脚杆咋个敢嫌弃哪个,17,认同逻辑1,"{1, 7}",{1},missed
听过同事吐槽，她老公是二环的，她家在二环也有房子，但是户口是青白江的，然后她老公的亲戚摆龙门阵就一口一个你们乡坝头咋个咋个,-,"认同逻辑2, 认同逻辑1",set(),"{1, 2}",spurious
不知道什么时候开始我们老成都人就开始被人骂看不起人了，大多是普通家庭的老成都谁管你哪来的，为什么说成都包容度大就是不管别人的事啊，归属感不强不融入当地不是本地人的错,4,"认同逻辑3, 认同逻辑1, 认同逻辑4",{4},"{1, 3, 4}",spurious
