text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,1,"Vernacular Spatial Authority, Functional Livability",{1},set(),missed
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,147,"认同逻辑1, 认同逻辑4, 认同逻辑6","{1, 4, 7}","{1, 4, 6}",missed
那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,14,"Linguistic-Cultural Recognition, Vernacular Spatial Authority","{1, 4}",set(),missed
那证明成都人的确不咋地，本来成都话口音离普通话语区就够偏了，很多怪音，他们还歧视本省的人，无语了都，儿化音就像大舌头一样，这是外地人评价的，为什么有些区县的来到成都要模仿他们的口音，本来就难听还要模仿是自己也不自信，大胆保持自己的地方本土特色有什么？,4,"[认同逻辑4], [认同逻辑6]",{4},set(),missed
我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,4,[Linguistic-Cultural Recognition],{4},set(),missed
你上面就有一条，说我们口音很贱,4,[认同逻辑4],{4},set(),missed
哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,4,Linguistic-Cultural Recognition,{4},set(),missed
重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒,4,[认同逻辑4],{4},set(),missed
我也不知道我算不算成都人，爸爸是成都人，爷爷奶奶也生活在成都，我户口在成都。但是妈妈是外地人，我爸妈都在我妈妈的城市工作。从小我跟着爸妈在我妈妈出生的城市生活，小时候放假回成都，和小朋友玩要被骂乡巴佬，所以导致我小时候不愿意回成都，一直到读研才回的成都，读完研就出国了，现在回成都快3年，不太会说成都话，听得懂，但愿意说四川话，总被同事说我说的四川话有口音，我也一直对成都没有认同感。,134,"认同逻辑3, 认同逻辑4","{1, 3, 4}","{3, 4}",missed
一个口音，一个面，我们天天被网暴，门都不敢出,4,[认同逻辑4],{4},set(),missed
就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,47,认同逻辑4,"{4, 7}",{4},missed
之前在成都上学遇到两个女的 就不是成都人 四川其他地方的 非要说自己是成都人 只是亲戚在双流买了房子而已各种也装的要死 我真的想问这有什么好优越的吗自己的土生土长的地方都不承认,3,"认同逻辑2, 认同逻辑3, 认同逻辑6",{3},"{2, 3, 6}",spurious
