text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,1,"认同逻辑1, 认同逻辑5",{1},"{1, 5}",spurious
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,147,"认同逻辑1, 认同逻辑4","{1, 4, 7}","{1, 4}",missed
我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,4,,{4},set(),missed
哈哈哈哈，口音很贱，这个,-,认同逻辑4,set(),{4},spurious
我也不知道我算不算成都人，爸爸是成都人，爷爷奶奶也生活在成都，我户口在成都。但是妈妈是外地人，我爸妈都在我妈妈的城市工作。从小我跟着爸妈在我妈妈出生的城市生活，小时候放假回成都，和小朋友玩要被骂乡巴佬，所以导致我小时候不愿意回成都，一直到读研才回的成都，读完研就出国了，现在回成都快3年，不太会说成都话，听得懂，但愿意说四川话，总被同事说我说的四川话有口音，我也一直对成都没有认同感。,134,"认同逻辑2, 认同逻辑3, 认同逻辑4","{1, 3, 4}","{2, 3, 4}",missed
就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,47,认同逻辑4,"{4, 7}",{4},missed
我倒觉得是外来的多了故意在那点火，成都越扩越大本来对我爸妈这种老一辈是不好区分的，现在离成都二三环内天远地远的地方也叫成都，结果一导航开过车过来还要老半天比去隔壁几个市坐高铁时间都长还不如说原来的某某地名好记，老一辈是不习惯啊，然后就说歧视了,1,"认同逻辑1, 认同逻辑5",{1},"{1, 5}",spurious
并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,46,认同逻辑6,"{4, 6}",{6},missed
成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,137,"认同逻辑1, 认同逻辑3, 认同逻辑4","{1, 3, 7}","{1, 3, 4}",missed
成华区二环内土著 几十年了没觉得啥子,13,认同逻辑3,"{1, 3}",{3},missed
