text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,1,"[认同逻辑1], [认同逻辑5]",{1},set(),missed
真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,147,"输出：[认同逻辑1], [认同逻辑3], [认同逻辑4], [认同逻辑6]","{1, 4, 7}",set(),missed
我是都江堰的，其他地方的我不敢说，但是我可是从小被成都口音嘲笑哦，我小时候去亲戚家耍过暑假，我说吃饭他们就笑我口音，现在去成都我都不敢开腔，有时候买东西都说普通话，经历过很多次被恶意学我说话,4,输出：[认同逻辑4],{4},set(),missed
那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,14,"输出：[认同逻辑1], [认同逻辑4]","{1, 4}",set(),missed
那证明成都人的确不咋地，本来成都话口音离普通话语区就够偏了，很多怪音，他们还歧视本省的人，无语了都，儿化音就像大舌头一样，这是外地人评价的，为什么有些区县的来到成都要模仿他们的口音，本来就难听还要模仿是自己也不自信，大胆保持自己的地方本土特色有什么？,4,输出：[认同逻辑4],{4},set(),missed
我朋友都江堰人在成都十多年现在已经是成都口音了，我估计是她怕融入不了所以就变成那样了吧,4,输出：[认同逻辑4],{4},set(),missed
我也都江堰的，被别个说口音难听,4,输出：[认同逻辑4],{4},set(),missed
哈哈哈 真的 确实 因为以前的周边的确实很弯 一说话就嫌弃 其实现在也一样 土著一听就晓得你不是成都的(一环内的)那个口音明显 但对外地人真的热情 问路啥都恨不得带别人走,14,输出：[认同逻辑4],"{1, 4}",set(),missed
我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,4,输出：[认同逻辑4],{4},set(),missed
你上面就有一条，说我们口音很贱,4,输出：[认同逻辑4],{4},set(),missed
哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,4,输出：[认同逻辑4],{4},set(),missed
重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒,4,[认同逻辑4],{4},set(),missed
还有外地人骂成都口音难听呢，逼着他来成都了？,4,输出：[认同逻辑4],{4},set(),missed
