Case,Text,Golden_Labels,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
1,有没有租收？年底有没有分红？,{6},set(),{6},{6},set(),set(),set()
2,"广州，是大家再熟悉不过的城市，是一座开放包容、海纳百川、有着2000多年历史的文化名城。广州的美食驰名中外，民俗文化丰富多样，温柔好听的粤语更是深受许多广州外地人的欢迎。但说到广州城，你们又知道是哪里吗？
 其实，以前的广州城≠现在的广州城区，两者并非同等概念。而且广州是1921年才设立为广州市的。再者不同地方的人对广州城区的理解也不同。在外地人看来，越秀区、天河区和海珠区就是广州城区，因为东山口、北京路、越秀公园、体育西、珠江新城、广州塔都是许多外地人来广州游玩的第一印象和首选去处，也是广州的热门景点；而在我们广州本地人乃至广府人看来，广州城区就是指“老四区”：越秀，东山，荔湾（不含芳村），河南（即海珠区），需要注意的是，老广所说的“河南”是仅指海珠区南华东、同福西一带，而剩余海珠区大部分原属番禺县新滘镇；东山在05年并入了现在的越秀区。
 但实际上，以前的广州城可比现在的城区要小的多，严格来说就是指越秀老城区，即旧时的番禺城。东山、西关都属城外，桂花岗、环市北一带以前也是农田区域。而广州城的由来，大概得从秦汉时期的“任嚣城”（今北京路一带）开始说起。
 那么任嚣城又有怎样深厚的历史故事呢？它和现在的广州又有怎样的密切联系呢？感兴趣的朋友请看下期小明的讲解哦",{1},{1},{1},{1},set(),set(),{1}
3,应该得去掉一大半，老济南只有护城河里面那一块吧，我们这是里这样说的～所以老济南画个小圈圈就好啦。不过2022年的济南市区确实大了不少，听我爸说济南扩建了好几次才有了现在的济南。现在莱芜章丘也并入济南了吧?济南越来越大啦，市区肯定不能那么一点点啦～毕竟是省会，不发展一下如何是好，对吧?,"{1, 2}",{1},"{1, 2}","{1, 2}",set(),set(),"{1, 2}"
4,陈家祠有你分红就关你事，冇就过主啦,{6},{6},{6},{6},set(),set(),set()
5,有分红就算,{6},{6},{6},{6},set(),set(),set()
6,不知道 但是知道土著一直在被其他人嘲讽口音 不知道有什么好笑的 特别是那个电炒饭...,{4},{4},{4},{4},set(),set(),{4}
7,我朋友都江堰人在成都十多年现在已经是成都口音了，我估计是她怕融入不了所以就变成那样了吧,{4},{4},{4},{4},set(),set(),{4}
8,82年生人，小时候东西城是北京城，崇文宣武是城里破落户，朝海丰是近郊，其他都是远郊县城，二环是城乡分界线，三环就是荒地了。,{1},{1},{1},{1},set(),set(),{1}
9,你同学说错了，西湖区也是乡下，因为我们这讲的都是余杭话，其他几个区讲的都是杭州话,"{1, 4}",{4},{4},{4},{4},set(),{4}
10,500107，土生土长破区，现居两江新区。,{3},{3},{3},{3},set(),set(),set()
11,以前平度不在青岛范围 后来规划进去了,{2},{2},{2},{2},set(),set(),set()
12,密云，有密云水库，还有一些纪念馆，但是，交通就不太方便，就只有公交，你要是说北京应该就有地铁，说实话，我现在没见过只有公交，而且在镇上，你要去哪哪的也不方便，比如我要去快递驿站，我要骑一个小时的自行车才能去，骑回来，还要再一个小时其他的地方我就不知道了,{5},{5},{5},{5},set(),set(),set()
13,对于我这城里土生土长的北京人的陈旧的思想：东边过了东大桥就是农村。西边过了官园就是农村。北边出了北三环就是农村。南边过了自然博物馆就是农村。海淀区就中关村再往西北就农村。丰台都郊县原来打电话都带郊直费。通州是哪？哦你说通县呀。去趟顺义一天回不来得住村里。延庆我草得坐火车(原来真从西直门坐火车),"{1, 3}","{1, 3}",{1},{1},set(),set(),{1}
14,我认为的，如果户口是那就是啊 广州居民，不是老广（老广指村里有分红的）；新广就是买房定居广州（新入户广州的）,"{2, 6}","{2, 6}","{2, 6}","{2, 6}",set(),set(),set()
15,我觉得唔紧要啊，起码人地真的学起来了，不是现在很多不友好的外地人，你一说白话，对方就一副妹仔大过主人婆的样子叫你讲普通话,{4},{4},{4},{4},set(),set(),set()
16,歧视三环外的多，还是学生偏多,{1},{1},{1},{1},set(),set(),{1}
17,抱抱，反正在我眼里我只看行政区域划分，属于青岛那就是青岛人，管是胶州还是城阳，早些年因为交通不便利人们觉得隔着远就罢了，现在不管地铁还是开车一会就到了呀,{2},{2},{2},{2},set(),set(),set()
18,有祠堂有分红,"{3, 6}","{3, 6}","{3, 6}","{3, 6}",set(),set(),set()
19,"今天出去玩 听见一个老爷爷在聊天 说老北京的城八区 东城 西城 崇文 宣武 那叫城里 朝阳 海淀 丰台 石景山是近郊 那时候骑自行车问去哪玩 都说去城里
 那远郊的那几个区都是后划进来的 要问去哪啊 基本就说去北京 那离城里太远了 山路不好走 开车也得开一天啊
 我查了一下北京在建国初期的时候 北京城区一共是七个 也就是前文区 东单东四西单西四崇文宣武 还有六个郊区 就是东郊南苑 丰台海淀石景山 还有一个京西矿区 到了1956年的时候 隶属于河北的昌平划归北京 那会叫昌平县 到1958年的时候把东四东单合并成东城区 西四西单合并成西城区 同时撤销了前门区 在后来 京西矿区就变成了门头沟区 东郊呢变成了朝阳区 同一年 通州房山大兴平谷 密云怀柔延庆都并入北京","{1, 2}","{1, 2}","{1, 2}","{1, 2}",set(),set(),"{1, 2}"
20,真系讲白话，好滴，吹水都方便好多割，普通话少小小味道，哈哈哈哈,{4},{4},{4},{4},set(),set(),{4}
21,就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,"{4, 7}","{4, 7}",{4},{4},set(),set(),{4}
22,籍贯广州，广州村民，清明去白云山上拜，几代祖先都在山上，而不是去公共墓园，家庭所有成员粤语完全不带口音,"{1, 3, 4}","{3, 4}","{3, 4}","{3, 4}",set(),set(),set()
23,因为红谷滩新区不是行政区，是经济区哈哈哈哈，我现在淘宝里还有地址,{2},{2},{2},{2},set(),set(),{2}
24,  想到xyl说土生土长的水果湖人,{3},{3},{3},{3},set(),set(),set()
25,成华区二环内土著 几十年了没觉得啥子,"{1, 3}",{3},{3},"{1, 3}",set(),set(),"{1, 3}"
26,啥叫市中心 和传不传统没关系啊 具有文化教育医疗商业在城市领先的地方才是市中心啊 cbd在哪哪就是呗,{5},{5},{5},{5},set(),set(),set()
27,这么说吧，广州前段时间村里分分红，你家有吗？没就不算,{6},{6},{6},{6},set(),set(),set()
28,是不是开始有成都口音了,{4},{4},{4},{4},set(),set(),set()
