comment_id,golden,golden_has_1,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
reply_chengdu_1_61_1,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
reply_chengdu_2_2_11,14,True,✓,✓,✗,✗,✓,✗,✓,✓,✓
reply_chengdu_2_2_25,14,True,✓,✗,✓,✗,✗,✓,✓,✓,✗
reply_chengdu_2_3_35,134,True,✗,✗,✗,✓,✗,✗,✗,✓,✗
reply_chengdu_2_25_1,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_chengdu_2_62,17,True,✓,✓,✓,✓,✗,✗,✗,✓,✓
comment_chengdu_2_78,13,True,✗,✓,✓,✗,✗,✗,✓,✓,✗
comment_chengdu_2_84,17,True,✓,✓,✗,✓,✓,✓,✗,✓,✓
comment_chengdu_2_124,14,True,✗,✓,✗,✗,✓,✓,✓,✓,✗
comment_chengdu_2_135,1,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
comment_chengdu_2_137,16,True,✓,✓,✓,✓,✓,✗,✓,✓,✓
comment_chengdu_2_148,147,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
comment_chengdu_2_189,13,True,✗,✓,✓,✗,✗,✗,✗,✗,✗
comment_chengdu_2_226,16,True,✗,✗,✓,✗,✓,✗,✗,✓,✗
comment_chengdu_2_235,1,True,✗,✓,✓,✓,✓,✓,✓,✓,✓
reply_chengdu_3_7_15,16,True,✗,✗,✗,✗,✓,✗,✓,✗,✗
reply_chengdu_3_7_18,16,True,✗,✗,✗,✗,✗,✗,✓,✗,✗
comment_harbin1_1_104,16,True,✓,✗,✓,✗,✗,✓,✗,✗,✗
reply_hefei1_1_1_2,13,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
reply_hefei2_1_5_25,12,True,✗,✓,✓,✗,✓,✗,✗,✗,✓
comment_jinan_1_2,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
reply_jinan_1_2_17,1,True,✗,✗,✓,✓,✓,✗,✗,✓,✗
reply_jinan_1_5_6,1,True,✓,✓,✓,✓,✗,✓,✓,✓,✓
reply_jinan_1_6_21,1,True,✓,✓,✗,✗,✓,✓,✓,✗,✓
comment_jinan_1_82,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
