comment_id,golden,golden_has_2,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
reply_chengdu_2_8_4,26,True,✓,✓,✗,✓,✓,✗,✓,✗,✓
comment_chengdu_2_170,12,True,✗,✗,✗,✗,✓,✗,✗,✗,✗
comment_harbin1_1_1,2,True,✓,✗,✓,✓,✓,✓,✓,✓,✗
comment_harbin1_1_15,2,True,✓,✓,✓,✗,✓,✓,✓,✓,✓
comment_harbin1_1_74,2,True,✓,✗,✓,✓,✓,✓,✓,✓,✗
reply_harbin1_1_103_8,2,True,✓,✗,✗,✗,✓,✓,✓,✓,✓
reply_hefei2_1_1_10,2,True,✓,✗,✓,✗,✓,✓,✗,✓,✗
reply_jinan_1_54_1,12,True,✓,✓,✓,✗,✓,✓,✓,✓,✓
comment_jinan_1_92,2,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_jinan_1_104,12,True,✗,✗,✗,✓,✓,✗,✓,✓,✓
reply_jinan_2_26_2,2,True,✓,✓,✓,✓,✓,✗,✓,✓,✓
reply_qingdao_6_3,2,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
main_qingdao_67b313fb000000002902b8b2,25,True,✓,✗,✓,✗,✗,✓,✓,✓,✓
comment_nanjing_1_19,2,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_nanjing_1_38,2,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_beijing1_1_137,1234,True,✓,✗,✗,✓,✓,✓,✓,✓,✓
main_beijing2_1,12,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
reply_beijing2_1_1_24,2,True,✓,✗,✗,✓,✓,✓,✓,✓,✗
reply_gz2_1_4_8,2,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_gz2_1_59,26,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_gz2_1_81,246,True,✓,✓,✗,✓,✗,✗,✓,✓,✓
reply_gz2_1_103_1,2,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_wuhan2_1_53,12,True,✓,✓,✓,✓,✗,✓,✓,✓,✓
comment_wuhan2_1_77,2,True,✓,✓,✓,✓,✓,✓,✓,✗,✓
reply_xm1_1_3_7,2,True,✓,✓,✓,✓,✓,✓,✗,✓,✓
comment_changsha2_1_63,12,True,✓,✗,✗,✓,✓,✓,✓,✓,✓
