Case,Text,Golden_Labels,Models_Missed_RL7,Models_Correct_RL7,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
1,怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,"{1, 4, 7}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],"{1, 4}","{1, 4}","{1, 4}",set(),set(),"{1, 4}"
2,瑶海排除，乱死了尤其龙岗这边长江批发市场这里，绿灯过斑马线一堆开电瓶车运货的一点也不看，就上来撞人,{7},"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],set(),{5},set(),set(),set(),set()
3,其实没必要比，厦门本地人只要在厦门有房子很多都想要读完书回厦门工作的，厦门工资总体不高是因为底层人太多了，实际上厦门的国企包括公务员的工资平均都要比福州高很多。去其他地方读书包括香港也呆过几年，包括去世界各地旅游，真心觉得一个集中环境教育交通医疗都在线的城市厦门算是其中一个非常非常好的，尤其是环境，基本上很少看到都市圈环境能做到这样的，人其实也不算多，全国中等吧,"{5, 6, 7}","['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",['Qwen3-235B-A22B (Few-shot)'],"{5, 6}","{5, 6, 7}","{5, 6}",set(),set(),"{5, 6}"
4,三环外的弯脚杆咋个敢嫌弃哪个,"{1, 7}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],{1},"{1, 4}",{1},set(),set(),set()
5,有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,"{1, 6, 7}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],"{1, 6}",{1},{1},set(),set(),"{1, 3}"
6,家里人是武钢的，记得小时候，一些武昌的亲戚一边羡慕我家人的“铁饭碗”一边嘲笑我是乡里伢。,"{1, 7}","['Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)']","{1, 7}","{1, 7}","{1, 7}",set(),set(),set()
7,就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,"{4, 7}","['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",['Qwen3-32B (Few-shot)'],"{4, 7}",{4},{4},set(),set(),{4}
8,成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,"{1, 3, 7}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],"{1, 2, 3}","{1, 3, 4}","{1, 2, 3}",set(),"{1, 2, 3}","{1, 2, 3}"
9,青秀区我有两套了，这边这套是我们的单位集资房，我们有股份，可以得分红，而且是按照职称高低才能买房子的大小，所以我爸说买咯。,"{6, 7}","['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",['Qwen3-32B (Few-shot)'],"{6, 7}",{6},{6},set(),set(),{6}
10,这个鄙视链是在老一辈那，因为当时青岛交通不发达，只有市南市北住人多，李沧黄岛是农村种地多。,"{1, 7}","['Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)']","{1, 7}","{1, 7}",{1},set(),{3},set()
11,真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,"{1, 4, 7}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",[],"{1, 4}","{1, 4}","{1, 3, 4, 6}",set(),set(),"{1, 4, 6}"
12,我同学说二环外的都是农民,"{1, 7}","['Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 7}","{1, 7}","{1, 7}",set(),set(),"{1, 7}"
