Case,Text,Golden_Labels,Models_Spurious_RL7,Models_Correct_No_RL7,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
1,碰到过一个从外地搬来青岛的 住在市南区 觉得自己老高贵了 说什么李沧是城乡结合部 崂山全是拆迁户 莱西平度是偏远山区青岛土生土长本地人只会觉得我小岛岛哪都好 最爱我小岛岛,"{1, 3}",['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 5}","{1, 3, 7}",{1},{3},set(),"{1, 6}"
2,成都人确实爱吹牛，我亲戚就挺爱的，但是年轻一辈还是低调的，我表姐表妹去加拿大的，美国的，日本的都有，再不济我们也都读过大学，还是有点见识的，能来成都安家买房高薪的外地人，我们咋会看不起，我自己老公都是外地人，我可崇拜他了！我自己工作都是互联网圈子，基本上都是外地人，而且我很懒，不思上进，只想做我的技术，领导和公司核心很多都是外地人！但是你要说优越感我倒是有点，就是我家虽然是拆迁户，还在南门买了两套房，但是我依然努力的工作，月薪还很高，而且还低调朴实！从来不在同事面前吹我的房，也不在亲戚面前吹我的工资，我觉得也算是成熟的！这些勤劳智慧善良努力，应该就是我的优越感,set(),['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",{6},{7},{6},set(),set(),"{3, 6}"
3,"武汉13个区的GDP排名、未来发展、人口以及房价情况一直备受关注。外地人常认为汉口区是武汉最富有的区，实际上他们说的是江汉区。江汉路步行街、国广武广每日都在刷新武汉的最高消费记录，西北湖的金融圈也是高楼林立。不过，江汉区2024年GDP仅1627亿，在武汉排名第六，房价约15000到3万之间。
 江岸区的万国建筑群江滩是武汉最顶级的富人区，二七滨江也坐落于此。这里的文化气息浓郁，人们可以在老洋房拍照打卡、在汉口江滩漫步、在武汉关跨年，武汉人的美好记忆都与之相关。其教育水平在武汉位居第二，发展潜力巨大。然而，2024年江岸区的GDP为1625亿，略低于江汉区。房价两极分化严重，最高的一万出头，最贵的八九万。
 真正能打的其实是东湖高新区，也就是中国光谷。它是举全省之力发展的板块，2024年GDP达到2715亿，增速4.7%，连续多年位居武汉第一。这里汇聚了大批高端产业，如互联网、人工智能、生物医药、数字通信等。光谷中心城道路宽敞、高楼林立，科技感十足。每天诞生六十多个老板、120多个企业，十多个发明专利。人均收入达20万，研究生、博士生遍地走，企业高管、科技新贵年入百万，身价千万上亿也很平常。虽然房价高峰期达到3万，现在跌到了17000平，但作为全武汉年轻人和外来人口最多的新区，这样的房价在很多人看来并不贵。
 再说说最穷的区，汉阳区常被认为是武汉最穷的区。其2024年GDP只有260亿，在主城区垫底，钟家村王家湾的商业也日渐衰落。不过汉阳区有着丰富的旅游资源、风景、文化和宜居环境，像晴川历历汉阳区、芳草萋萋鹦鹉洲的美景，每年大年初五都人山人海。
 蔡甸区连续多年GDP垫底，2024年GDP仅529亿。中华新城彻底熄火，老城区缺乏足够生活气息，产业和人口状况都较为一般。花博会期间稍微热闹点，板块内基本都是养老之地，房子每平五六千，与周边8加1城市圈的县城水平相当。
 武汉正处于两极分化的关键节点，只有基本面良好、产业发达的板块才能吸引更多人才流入，而人口不断流失的板块必然会逐渐失去竞争力，房价下跌也在所难免。",set(),['Qwen3-32B (Few-shot)'],"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 5, 6, 7}","{1, 5}",set(),set(),set(),set()
4,东城：美术馆，北京名胜古迹集中营，以前南锣鼓巷称为中国的“秋叶原” 西城：学霸集中营，除了北京四中没有别的印象，宣武印象都比西城多 海淀：修电脑的，大学集中营，去漫展喽 朝阳：我家，好大 丰台：体育馆 石景山：石景山游乐园，我出生的地方，老山 门头沟：好远…………………… 房山：好远…………………… 通州：我奶奶家，以前叫通县，环球影城，以前落后现在发展特别好 顺义：小汤山？温泉？小学老去那边采摘园？ 昌平：回龙观和天通苑！人口密集居住地！ 大兴：机场可以接受河北信号 怀柔：说话带口音，没去过 平谷：大桃，说话带口音，没去过 密云：水库，说话带口音，没去过 延庆：只在天气预报见过龙庆峡，没去过,{1},['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 4}","{4, 7}","{1, 4}",set(),set(),set()
5,其实是反过来的，村民以前在老广眼里是乡下人，只不过郊区城镇化之后村民平均生活水平比之前的老城区市民高，现在基本在广州会粤语都当你广州人，只不过有些人挑拨离间，广州人又要有祠堂分红又要在老三区，能满足这俩点的全广州找不出20万个，那还得了,{4},['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{4, 6}","{4, 6, 7}","{3, 4, 6}",set(),set(),"{1, 3, 4, 6}"
6,是老市民的心理落差……祖祖辈辈都是大城市武汉人， 混了几辈人还没到大城市上层，眼看这些祖辈都在乡下耕田的外地人来大武汉跟自己平起平坐，甚至混得比自己还好，失落……唯有排外能强挽一下老市民的尊严,{3},['Qwen3-32B (Few-shot)'],"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{3, 7}","{3, 6}","{3, 6}",set(),set(),"{3, 6}"
7,不会吧渝中区的拆迁户跑李家沱去干撒子，,set(),['Gemma-3-27B (Zero-shot)'],"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)']",{1},{1},{1},set(),{3},"{6, 7}"
8,东城：崇文 东城合并 城里人 西城：宣武 西城合并 城里人 海淀：大学很多 那边的父母鸡娃 挺多的 朝阳：感觉很有钱的样子 丰台：家 以前是郊区 现在的居住区，附近有城里拆迁过来的，没啥好工作，上班地铁好多人 石景山：首钢 之前公司的客服部 去那边打过电话 (不知道为啥总觉得玉渊潭在石景山 门头沟：山沟 去年发大水很严重 房山：十渡 周口店北京人本人 通州：环球影城 副中心 顺义：首都机场 采摘 农家乐很多 昌平：北边太远了 回龙观 大兴：亦庄 西红门 高米店 驾照 怀柔：没咋去过 板栗 平谷：大桃 有地方口音 密云：水库 延庆：山区,set(),"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 4, 5, 6}","{1, 2, 4, 5, 7}","{1, 3, 6, 7}",set(),set(),set()
9,这个不知道反正包河区公务员分数线最高，高的离谱,set(),"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",set(),{7},{7},set(),set(),set()
10,什么叫乡下？你的定义是什么？周边也一大把出生就是城镇户口，父母都是工人或者事业单位公务员，家里没有土地，怎么就是乡下了？要你这么说全国就没有几个不是乡下的地方了。,set(),"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Qwen3-32B (Zero-shot)']","['Gemma-3-27B (Few-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{2, 6, 7}","{2, 7}",{6},"{6, 7}",set(),{6}
